,Call_Rate,Nature,Location
247,0.02196053469127944,BATTERY,13.0
248,0.022684110571850602,BATTERY,5.0
249,0.016844126374585443,BATTERY,1.0
250,0.025969962453066334,BATTERY,0.0
251,0.018686655405405407,BATTERY,11.0
252,0.016278327481646985,BATTERY,9.0
253,0.005175701443748297,BATTERY,12.0
254,0.012474340754776566,BATTERY,2.0
255,0.014688124231172906,BATTERY,Total
256,0.015463917525773196,THEFT,14.0
257,0.00933997509339975,THEFT,8.0
258,0.009571049322341763,THEFT,3.0
259,0.028991060025542786,THEFT,7.0
260,0.01609695175540034,THEFT,10.0
261,0.009170781761046623,THEFT,4.0
262,0.009391645640594337,THEFT,6.0
263,0.06047103755569701,THEFT,13.0
264,0.028381515087571217,THEFT,5.0
265,0.017105952173154127,THEFT,1.0
266,0.023936170212765957,THEFT,0.0
267,0.016258445945945946,THEFT,11.0
268,0.014363230130864985,THEFT,9.0
269,0.010805411786071008,THEFT,12.0
270,0.018316753513342807,THEFT,2.0
271,0.015765892855127583,THEFT,Total
272,0.004142120765832106,ENTRY,14.0
273,0.010641911015510019,ENTRY,8.0
274,0.007056029062456336,ENTRY,3.0
275,0.010472541507024266,ENTRY,7.0
276,0.008696054396595588,ENTRY,10.0
277,0.010325145898800745,ENTRY,4.0
278,0.007008690776562938,ENTRY,6.0
279,0.0076384468491406746,ENTRY,13.0
280,0.014771048744460856,ENTRY,5.0
281,0.012131262000349101,ENTRY,1.0
282,0.017991239048811013,ENTRY,0.0
283,0.013302364864864864,ENTRY,11.0
284,0.005654096940403994,ENTRY,9.0
285,0.003995278307454826,ENTRY,12.0
286,0.009789988946786673,ENTRY,2.0
287,0.009039713798824046,ENTRY,Total
288,0.031480117820324005,ASSIGNMENT,14.0
289,0.02507641797803691,ASSIGNMENT,8.0
290,0.023473522425597318,ASSIGNMENT,3.0
291,0.005108556832694764,ASSIGNMENT,7.0
292,0.022665248161339562,ASSIGNMENT,10.0
293,0.02738408260116719,ASSIGNMENT,4.0
294,0.019484160358844968,ASSIGNMENT,6.0
295,0.00668364099299809,ASSIGNMENT,13.0
296,0.007174509390166702,ASSIGNMENT,5.0
297,0.016233199511258508,ASSIGNMENT,1.0
298,0.006727158948685858,ASSIGNMENT,0.0
299,0.004961993243243243,ASSIGNMENT,11.0
300,0.030595960056540968,ASSIGNMENT,9.0
301,0.03159901934077908,ASSIGNMENT,12.0
302,0.005210800568450971,ASSIGNMENT,2.0
303,0.020833098218013973,ASSIGNMENT,Total
304,0.004418262150220913,SUBJ WANTED,14.0
305,0.011377787841050606,SUBJ WANTED,8.0
306,0.010129942713427414,SUBJ WANTED,3.0
307,0.0033205619412515963,SUBJ WANTED,7.0
308,0.008927332439058236,SUBJ WANTED,10.0
309,0.011864298082472904,SUBJ WANTED,4.0
310,0.006588169329969162,SUBJ WANTED,6.0
311,0.0060471037555697,SUBJ WANTED,13.0
312,0.017936273475416754,SUBJ WANTED,5.0
313,0.010734857741316111,SUBJ WANTED,1.0
314,0.014549436795994995,SUBJ WANTED,0.0
315,0.010240709459459459,SUBJ WANTED,11.0
316,0.012858510783821987,SUBJ WANTED,9.0
317,0.007354944156905475,SUBJ WANTED,12.0
318,0.005210800568450971,SUBJ WANTED,2.0
319,0.010010269837149725,SUBJ WANTED,Total
320,0.0468519882179676,OUT OF SERVICE,14.0
321,0.03254839805275671,OUT OF SERVICE,8.0
322,0.039192399049881234,OUT OF SERVICE,3.0
323,0.0,OUT OF SERVICE,7.0
324,0.025301817845413757,OUT OF SERVICE,10.0
325,0.03854293593279035,OUT OF SERVICE,4.0
326,0.0015419119708438463,OUT OF SERVICE,6.0
327,0.0,OUT OF SERVICE,13.0
328,0.005380882042625027,OUT OF SERVICE,5.0
329,0.0009600279280851807,OUT OF SERVICE,1.0
330,0.00046933667083854817,OUT OF SERVICE,0.0
331,0.00010557432432432433,OUT OF SERVICE,11.0
332,0.025808216679585973,OUT OF SERVICE,9.0
333,0.051847816217197855,OUT OF SERVICE,12.0
334,0.0006316121901152693,OUT OF SERVICE,2.0
335,0.022638783870712907,OUT OF SERVICE,Total
336,0.004234167893961708,BATTERY DV,14.0
337,0.009736216460998528,BATTERY DV,8.0
338,0.007754645801313399,BATTERY DV,3.0
339,0.00280970625798212,BATTERY DV,7.0
340,0.005966973495536334,BATTERY DV,10.0
341,0.011864298082472904,BATTERY DV,4.0
342,0.005606952621250351,BATTERY DV,6.0
343,0.00859325270528326,BATTERY DV,13.0
344,0.018885840894703524,BATTERY DV,5.0
345,0.012654913597486472,BATTERY DV,1.0
346,0.01892991239048811,BATTERY DV,0.0
347,0.008868243243243243,BATTERY DV,11.0
348,0.007113218731475993,BATTERY DV,9.0
349,0.004086080087169709,BATTERY DV,12.0
350,0.007421443233854413,BATTERY DV,2.0
351,0.00861086345630805,BATTERY DV,Total
352,0.008468335787923416,INJ PERSON/SICK,14.0
353,0.008547492358202196,INJ PERSON/SICK,8.0
354,0.006357412323599273,INJ PERSON/SICK,3.0
355,0.013537675606641124,INJ PERSON/SICK,7.0
356,0.011101346038207133,INJ PERSON/SICK,10.0
357,0.009106650420060284,INJ PERSON/SICK,4.0
358,0.006447995514437903,INJ PERSON/SICK,6.0
359,0.018777848504137492,INJ PERSON/SICK,13.0
360,0.01266089892382359,INJ PERSON/SICK,5.0
361,0.009251178216093559,INJ PERSON/SICK,1.0
362,0.010481852315394244,INJ PERSON/SICK,0.0
363,0.022592905405405407,INJ PERSON/SICK,11.0
364,0.014363230130864985,INJ PERSON/SICK,9.0
365,0.007264142377190593,INJ PERSON/SICK,12.0
366,0.006000315806095058,INJ PERSON/SICK,2.0
367,0.01069304472457651,INJ PERSON/SICK,Total
368,0.0078240058910162,TRAFFIC HAZARD,14.0
369,0.008377674629231292,TRAFFIC HAZARD,8.0
370,0.01075869777839877,TRAFFIC HAZARD,3.0
371,0.008045977011494253,TRAFFIC HAZARD,7.0
372,0.009343632915491003,TRAFFIC HAZARD,10.0
373,0.010838196626691464,TRAFFIC HAZARD,4.0
374,0.011634426689094477,TRAFFIC HAZARD,6.0
375,0.014958625079567155,TRAFFIC HAZARD,13.0
376,0.011183794049377506,TRAFFIC HAZARD,5.0
377,0.009425728748472683,TRAFFIC HAZARD,1.0
378,0.025344180225281603,TRAFFIC HAZARD,0.0
379,0.00950168918918919,TRAFFIC HAZARD,11.0
380,0.007432401623272992,TRAFFIC HAZARD,9.0
381,0.005720512122037592,TRAFFIC HAZARD,12.0
382,0.013105952944891837,TRAFFIC HAZARD,2.0
383,0.009965127695832252,TRAFFIC HAZARD,Total
384,0.0,SHOTSPOTTER,14.0
385,0.017378014264689233,SHOTSPOTTER,8.0
386,0.0001397233477714126,SHOTSPOTTER,3.0
387,0.0,SHOTSPOTTER,7.0
388,0.002821592118044313,SHOTSPOTTER,10.0
389,0.009683832488937344,SHOTSPOTTER,4.0
390,0.00042052144659377626,SHOTSPOTTER,6.0
391,0.0,SHOTSPOTTER,13.0
392,0.007174509390166702,SHOTSPOTTER,5.0
393,0.006894746028975388,SHOTSPOTTER,1.0
394,0.0,SHOTSPOTTER,0.0
395,0.007390202702702703,SHOTSPOTTER,11.0
396,0.0015503169030139984,SHOTSPOTTER,9.0
397,0.0,SHOTSPOTTER,12.0
398,0.0,SHOTSPOTTER,2.0
399,0.004373144940130235,SHOTSPOTTER,Total
